Sample,Measure
DMSO,144.4393
TGX-221,99.61073
PI103,41.95241
Akt1,111.8013
DMSO,135.7167
TGX-221,115.3576
PI103,57.4643
Akt1,124.1805
DMSO,57.88828
TGX-221,106.4484
PI103,41.01954
Akt1,126.7738
DMSO,66.71269
TGX-221,115.8983
PI103,63.12587
Akt1,130.9577
DMSO,73.36981
TGX-221,75.96729
Akt1,88.6273
DMSO,83.4318
Akt1,147.8813
DMSO,97.41048
Akt1,72.68707
DMSO,97.91444
Akt1,82.73766
DMSO,107.9763
Akt1,49.60179
DMSO,113.441
DMSO,110.1786
DMSO,132.6277
DMSO,75.4936
DMSO,103.8292
DMSO,104.7712
DMSO,95.34444
DMSO,113.0759
